hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,LUAD & Healthy,44,P22695,QCR2
HLA-I,LUAD & Healthy,44,P26572,MGAT1
HLA-I,LUAD & Healthy,44,P30050,RL12
HLA-I,LUAD & Healthy,44,P31947,1433S
HLA-I,LUAD & Healthy,44,P40199,CEAM6
HLA-I,LUAD & Healthy,44,P55899,FCGRN
HLA-I,LUAD & Healthy,44,P85037,FOXK1
HLA-I,LUAD & Healthy,44,Q08174,PCDH1
HLA-I,LUAD & Healthy,44,Q08345,DDR1
HLA-I,LUAD & Healthy,44,Q12913,PTPRJ
HLA-I,LUAD & Healthy,44,Q13228,SBP1
HLA-I,LUAD & Healthy,44,Q13332,PTPRS
HLA-I,LUAD & Healthy,44,Q13574,DGKZ
HLA-I,LUAD & Healthy,44,Q14BN4,SLMAP
HLA-I,LUAD & Healthy,44,Q15061,WDR43
HLA-I,LUAD & Healthy,44,Q5T9L3,WLS
HLA-I,LUAD & Healthy,44,Q6ZNL6,FGD5
HLA-I,LUAD & Healthy,44,Q7Z4Q2,HEAT3
HLA-I,LUAD & Healthy,44,Q8N5A5,ZGPAT
HLA-I,LUAD & Healthy,44,Q8NDB2,BANK1
HLA-I,LUAD & Healthy,44,Q99523,SORT
HLA-I,LUAD & Healthy,44,Q9H4M9,EHD1
HLA-I,LUAD & Healthy,44,Q9HCE0,EPG5
HLA-I,LUAD & Healthy,44,Q9UJX3,APC7
HLA-I,LUAD & Healthy,44,Q9ULI3,HEG1
HLA-I,LUAD & Healthy,44,Q9Y221,NIP7
HLA-I,LUAD & Healthy,44,Q9Y2L1,RRP44
HLA-I,LUSC & Healthy,14,P00738,HPT
HLA-I,LUSC & Healthy,14,P01911,DRB
HLA-I,LUSC & Healthy,14,P05186,PPBT
HLA-I,LUSC & Healthy,14,P08697,A2AP
HLA-I,LUSC & Healthy,14,P10451,OSTP
HLA-I,LUSC & Healthy,14,P18428,LBP
HLA-I,LUSC & Healthy,14,P21796,VDAC1
HLA-I,LUSC & Healthy,14,P46976,GLYG
HLA-I,LUSC & Healthy,14,P62937,PPIA
HLA-I,LUSC & Healthy,14,P78324,SHPS1
HLA-I,LUSC & Healthy,14,Q06830,PRDX1
HLA-I,LUSC & Healthy,14,Q96FE7,P3IP1
HLA-I,LUSC & Healthy,14,Q9H3G5,CPVL
HLA-I,LUSC & Healthy,14,Q9UQV4,LAMP3
HLA-I,All three,1904,A0A0A6YYG3,YG3|TVB68
HLA-I,All three,1904,A0A0B4J1V1,1V1|HV321
HLA-I,All three,1904,A0A0B4J1X5,1X5|HV374
HLA-I,All three,1904,A0AV96,RBM47
HLA-I,All three,1904,A0AVT1,UBA6
HLA-I,All three,1904,A0FGR8,ESYT2
HLA-I,All three,1904,A2A3N6,PIPSL
HLA-I,All three,1904,A2RRH5,WDR27
HLA-I,All three,1904,A2RRP1,NBAS
HLA-I,All three,1904,A2RTX5,SYTC2
HLA-I,All three,1904,A2RUS2,DEND3
HLA-I,All three,1904,A3KN83,SBNO1
HLA-I,All three,1904,A5YKK6,CNOT1
HLA-I,All three,1904,A6NHR9,SMHD1
HLA-I,All three,1904,B0I1T2,MYO1G
HLA-I,All three,1904,B9A064,IGLL5
HLA-I,All three,1904,C9J798,RAS4B
HLA-I,All three,1904,O00141,SGK1
HLA-I,All three,1904,O00159,MYO1C
HLA-I,All three,1904,O00160,MYO1F
HLA-I,All three,1904,O00182,LEG9
HLA-I,All three,1904,O00186,STXB3
HLA-I,All three,1904,O00203,AP3B1
HLA-I,All three,1904,O00221,IKBE
HLA-I,All three,1904,O00267,SPT5H
HLA-I,All three,1904,O00299,CLIC1
HLA-I,All three,1904,O00303,EIF3F
HLA-I,All three,1904,O00308,WWP2
HLA-I,All three,1904,O00329,PK3CD
HLA-I,All three,1904,O00391,QSOX1
HLA-I,All three,1904,O00410,IPO5
HLA-I,All three,1904,O00429,DNM1L
HLA-I,All three,1904,O00462,MANBA
HLA-I,All three,1904,O00468,AGRIN
HLA-I,All three,1904,O00469,PLOD2
HLA-I,All three,1904,O00471,EXOC5
HLA-I,All three,1904,O00487,PSDE
HLA-I,All three,1904,O00534,VMA5A
HLA-I,All three,1904,O00560,SDCB1
HLA-I,All three,1904,O00567,NOP56
HLA-I,All three,1904,O00754,MA2B1
HLA-I,All three,1904,O00767,ACOD
HLA-I,All three,1904,O14530,TXND9
HLA-I,All three,1904,O14579,COPE
HLA-I,All three,1904,O14617,AP3D1
HLA-I,All three,1904,O14647,CHD2
HLA-I,All three,1904,O14672,ADA10
HLA-I,All three,1904,O14682,ENC1
HLA-I,All three,1904,O14773,TPP1
HLA-I,All three,1904,O14775,GNB5
HLA-I,All three,1904,O14777,NDC80
HLA-I,All three,1904,O14787,TNPO2
HLA-I,All three,1904,O14791,APOL1
HLA-I,All three,1904,O14818,PSA7
HLA-I,All three,1904,O14879,IFIT3
HLA-I,All three,1904,O14908,GIPC1
HLA-I,All three,1904,O14920,IKKB
HLA-I,All three,1904,O14936,CSKP
HLA-I,All three,1904,O14939,PLD2
HLA-I,All three,1904,O14964,HGS
HLA-I,All three,1904,O14976,GAK
HLA-I,All three,1904,O14977,AZIN1
HLA-I,All three,1904,O14979,HNRDL
HLA-I,All three,1904,O14980,XPO1
HLA-I,All three,1904,O14981,BTAF1
HLA-I,All three,1904,O15027,SC16A
HLA-I,All three,1904,O15031,PLXB2
HLA-I,All three,1904,O15040,TCPR2
HLA-I,All three,1904,O15042,SR140
HLA-I,All three,1904,O15047,SET1A
HLA-I,All three,1904,O15050,TRNK1
HLA-I,All three,1904,O15117,FYB1
HLA-I,All three,1904,O15118,NPC1
HLA-I,All three,1904,O15121,DEGS1
HLA-I,All three,1904,O15143,ARC1B
HLA-I,All three,1904,O15145,ARPC3
HLA-I,All three,1904,O15160,RPAC1
HLA-I,All three,1904,O15213,WDR46
HLA-I,All three,1904,O15254,ACOX3
HLA-I,All three,1904,O15269,SPTC1
HLA-I,All three,1904,O15270,SPTC2
HLA-I,All three,1904,O15294,OGT1
HLA-I,All three,1904,O15371,EIF3D
HLA-I,All three,1904,O15372,EIF3H
HLA-I,All three,1904,O15397,IPO8
HLA-I,All three,1904,O15427,MOT4
HLA-I,All three,1904,O15438,MRP3
HLA-I,All three,1904,O15519,CFLAR
HLA-I,All three,1904,O15530,PDPK1
HLA-I,All three,1904,O15533,TPSN
HLA-I,All three,1904,O15539,RGS5
HLA-I,All three,1904,O43143,DHX15
HLA-I,All three,1904,O43149,ZZEF1
HLA-I,All three,1904,O43150,ASAP2
HLA-I,All three,1904,O43164,PJA2
HLA-I,All three,1904,O43237,DC1L2
HLA-I,All three,1904,O43242,PSMD3
HLA-I,All three,1904,O43251,RFOX2
HLA-I,All three,1904,O43252,PAPS1
HLA-I,All three,1904,O43290,SNUT1
HLA-I,All three,1904,O43292,GPAA1
HLA-I,All three,1904,O43293,DAPK3
HLA-I,All three,1904,O43299,AP5Z1
HLA-I,All three,1904,O43390,HNRPR
HLA-I,All three,1904,O43396,TXNL1
HLA-I,All three,1904,O43432,IF4G3
HLA-I,All three,1904,O43491,E41L2
HLA-I,All three,1904,O43572,AKA10
HLA-I,All three,1904,O43617,TPPC3
HLA-I,All three,1904,O43660,PLRG1
HLA-I,All three,1904,O43665,RGS10
HLA-I,All three,1904,O43707,ACTN4
HLA-I,All three,1904,O43760,SNG2
HLA-I,All three,1904,O43776,SYNC
HLA-I,All three,1904,O43795,MYO1B
HLA-I,All three,1904,O43813,LANC1
HLA-I,All three,1904,O43847,NRDC
