hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,All three,1904,P16949,STMN1
HLA-I,All three,1904,P17480,UBF1
HLA-I,All three,1904,P17535,JUND
HLA-I,All three,1904,P17676,CEBPB
HLA-I,All three,1904,P17813,EGLN
HLA-I,All three,1904,P17844,DDX5
HLA-I,All three,1904,P17931,LEG3
HLA-I,All three,1904,P17980,PRS6A
HLA-I,All three,1904,P17987,TCPA
HLA-I,All three,1904,P18074,ERCC2
HLA-I,All three,1904,P18077,RL35A
HLA-I,All three,1904,P18124,RL7
HLA-I,All three,1904,P18206,VINC
HLA-I,All three,1904,P18583,SON
HLA-I,All three,1904,P18887,XRCC1
HLA-I,All three,1904,P19021,AMD
HLA-I,All three,1904,P19105,ML12A
HLA-I,All three,1904,P19338,NUCL
HLA-I,All three,1904,P19367,HXK1
HLA-I,All three,1904,P19387,RPB3
HLA-I,All three,1904,P19388,RPAB1
HLA-I,All three,1904,P19447,ERCC3
HLA-I,All three,1904,P19634,SL9A1
HLA-I,All three,1904,P19823,ITIH2
HLA-I,All three,1904,P19838,NFKB1
HLA-I,All three,1904,P19971,TYPH
HLA-I,All three,1904,P20036,DPA1
HLA-I,All three,1904,P20073,ANXA7
HLA-I,All three,1904,P20132,SDHL
HLA-I,All three,1904,P20231,TRYB2
HLA-I,All three,1904,P20290,BTF3
HLA-I,All three,1904,P20591,MX1
HLA-I,All three,1904,P20592,MX2
HLA-I,All three,1904,P20700,LMNB1
HLA-I,All three,1904,P20702,ITAX
HLA-I,All three,1904,P20810,ICAL
HLA-I,All three,1904,P21281,VATB2
HLA-I,All three,1904,P21283,VATC1
HLA-I,All three,1904,P21291,CSRP1
HLA-I,All three,1904,P21333,FLNA
HLA-I,All three,1904,P21810,PGS1
HLA-I,All three,1904,P21980,TGM2
HLA-I,All three,1904,P22087,FBRL
HLA-I,All three,1904,P22307,NLTP
HLA-I,All three,1904,P22314,UBA1
HLA-I,All three,1904,P22352,GPX3
HLA-I,All three,1904,P22415,USF1
HLA-I,All three,1904,P22626,ROA2
HLA-I,All three,1904,P22681,CBL
HLA-I,All three,1904,P22897,MRC1
HLA-I,All three,1904,P23193,TCEA1
HLA-I,All three,1904,P23229,ITA6
HLA-I,All three,1904,P23246,SFPQ
HLA-I,All three,1904,P23381,SYWC
HLA-I,All three,1904,P23396,RS3
HLA-I,All three,1904,P23458,JAK1
HLA-I,All three,1904,P23497,SP100
HLA-I,All three,1904,P23528,COF1
HLA-I,All three,1904,P23588,IF4B
HLA-I,All three,1904,P23634,AT2B4
HLA-I,All three,1904,P23921,RIR1
HLA-I,All three,1904,P24001,IL32
HLA-I,All three,1904,P24043,LAMA2
HLA-I,All three,1904,P24385,CCND1
HLA-I,All three,1904,P24821,TENA
HLA-I,All three,1904,P24844,MYL9
HLA-I,All three,1904,P24928,RPB1
HLA-I,All three,1904,P25098,ARBK1
HLA-I,All three,1904,P25205,MCM3
HLA-I,All three,1904,P25440,BRD2
HLA-I,All three,1904,P25774,CATS
HLA-I,All three,1904,P25789,PSA4
HLA-I,All three,1904,P25963,IKBA
HLA-I,All three,1904,P26006,ITA3
HLA-I,All three,1904,P26010,ITB7
HLA-I,All three,1904,P26038,MOES
HLA-I,All three,1904,P26196,DDX6
HLA-I,All three,1904,P26358,DNMT1
HLA-I,All three,1904,P26373,RL13
HLA-I,All three,1904,P26599,PTBP1
HLA-I,All three,1904,P26639,SYTC
HLA-I,All three,1904,P26641,EF1G
HLA-I,All three,1904,P27105,STOM
HLA-I,All three,1904,P27348,1433T
HLA-I,All three,1904,P27635,RL10
HLA-I,All three,1904,P27694,RFA1
HLA-I,All three,1904,P27695,APEX1
HLA-I,All three,1904,P27708,PYR1
HLA-I,All three,1904,P27797,CALR
HLA-I,All three,1904,P27816,MAP4
HLA-I,All three,1904,P27824,CALX
HLA-I,All three,1904,P27986,P85A
HLA-I,All three,1904,P28062,PSB8
HLA-I,All three,1904,P28065,PSB9
HLA-I,All three,1904,P28066,PSA5
HLA-I,All three,1904,P28070,PSB4
HLA-I,All three,1904,P28072,PSB6
HLA-I,All three,1904,P28290,ITPI2
HLA-I,All three,1904,P28562,DUS1
HLA-I,All three,1904,P28715,ERCC5
HLA-I,All three,1904,P28838,AMPL
HLA-I,All three,1904,P29350,PTN6
HLA-I,All three,1904,P29353,SHC1
HLA-I,All three,1904,P29375,KDM5A
HLA-I,All three,1904,P29401,TKT
HLA-I,All three,1904,P29590,PML
HLA-I,All three,1904,P30086,PEBP1
HLA-I,All three,1904,P30101,PDIA3
HLA-I,All three,1904,P30153,2AAA
HLA-I,All three,1904,P30260,CDC27
HLA-I,All three,1904,P30279,CCND2
HLA-I,All three,1904,P30281,CCND3
HLA-I,All three,1904,P30530,UFO
HLA-I,All three,1904,P30533,AMRP
HLA-I,All three,1904,P30740,ILEU
HLA-I,All three,1904,P30876,RPB2
HLA-I,All three,1904,P31146,COR1A
HLA-I,All three,1904,P31431,SDC4
HLA-I,All three,1904,P31689,DNJA1
HLA-I,All three,1904,P31751,AKT2
HLA-I,All three,1904,P31785,IL2RG
HLA-I,All three,1904,P31939,PUR9
HLA-I,All three,1904,P31943,HNRH1
HLA-I,All three,1904,P32456,GBP2
HLA-I,All three,1904,P33076,C2TA
HLA-I,All three,1904,P33121,ACSL1
HLA-I,All three,1904,P33151,CADH5
HLA-I,All three,1904,P33176,KINH
HLA-I,All three,1904,P33241,LSP1
HLA-I,All three,1904,P33552,CKS2
HLA-I,All three,1904,P33908,MA1A1
HLA-I,All three,1904,P33991,MCM4
HLA-I,All three,1904,P33992,MCM5
HLA-I,All three,1904,P33993,MCM7
HLA-I,All three,1904,P34059,GALNS
HLA-I,All three,1904,P34896,GLYC
HLA-I,All three,1904,P34932,HSP74
HLA-I,All three,1904,P35221,CTNA1
HLA-I,All three,1904,P35222,CTNB1
HLA-I,All three,1904,P35232,PHB
HLA-I,All three,1904,P35237,SPB6
HLA-I,All three,1904,P35241,RADI
HLA-I,All three,1904,P35251,RFC1
HLA-I,All three,1904,P35527,K1C9
HLA-I,All three,1904,P35579,MYH9
HLA-I,All three,1904,P35580,MYH10
HLA-I,All three,1904,P35606,COPB2
HLA-I,All three,1904,P35610,SOAT1
HLA-I,All three,1904,P35611,ADDA
HLA-I,All three,1904,P35637,FUS
HLA-I,All three,1904,P35658,NU214
HLA-I,All three,1904,P35659,DEK
HLA-I,All three,1904,P35749,MYH11
HLA-I,All three,1904,P35869,AHR
HLA-I,All three,1904,P36222,CH3L1
HLA-I,All three,1904,P36269,GGT5
HLA-I,All three,1904,P36578,RL4
HLA-I,All three,1904,P36873,PP1G
HLA-I,All three,1904,P36969,GPX4
HLA-I,All three,1904,P37108,SRP14
HLA-I,All three,1904,P37802,TAGL2
HLA-I,All three,1904,P37837,TALDO
HLA-I,All three,1904,P38159,RBMX
HLA-I,All three,1904,P38606,VATA
HLA-I,All three,1904,P38919,IF4A3
HLA-I,All three,1904,P39023,RL3
HLA-I,All three,1904,P39656,OST48
HLA-I,All three,1904,P40121,CAPG
HLA-I,All three,1904,P40189,IL6RB
HLA-I,All three,1904,P40222,TXLNA
HLA-I,All three,1904,P40227,TCPZ
HLA-I,All three,1904,P40261,NNMT
HLA-I,All three,1904,P40305,IFI27
HLA-I,All three,1904,P40306,PSB10
HLA-I,All three,1904,P40763,STAT3
HLA-I,All three,1904,P41226,UBA7
HLA-I,All three,1904,P41229,KDM5C
HLA-I,All three,1904,P41252,SYIC
HLA-I,All three,1904,P42025,ACTY
HLA-I,All three,1904,P42224,STAT1
HLA-I,All three,1904,P42226,STAT6
HLA-I,All three,1904,P42285,MTREX
HLA-I,All three,1904,P42336,PK3CA
HLA-I,All three,1904,P42345,MTOR
HLA-I,All three,1904,P42356,PI4KA
HLA-I,All three,1904,P42575,CASP2
HLA-I,All three,1904,P42694,HELZ
HLA-I,All three,1904,P42695,CNDD3
HLA-I,All three,1904,P42696,RBM34
HLA-I,All three,1904,P42768,WASP
HLA-I,All three,1904,P42858,HD
HLA-I,All three,1904,P42892,ECE1
HLA-I,All three,1904,P43235,CATK
HLA-I,All three,1904,P43243,MATR3
HLA-I,All three,1904,P43246,MSH2
HLA-I,All three,1904,P43307,SSRA
HLA-I,All three,1904,P43405,KSYK
HLA-I,All three,1904,P43490,NAMPT
HLA-I,All three,1904,P45844,ABCG1
HLA-I,All three,1904,P45880,VDAC2
HLA-I,All three,1904,P46060,RAGP1
HLA-I,All three,1904,P46100,ATRX
HLA-I,All three,1904,P46109,CRKL
HLA-I,All three,1904,P46379,BAG6
HLA-I,All three,1904,P46777,RL5
HLA-I,All three,1904,P46779,RL28
HLA-I,All three,1904,P46821,MAP1B
HLA-I,All three,1904,P46939,UTRO
HLA-I,All three,1904,P46940,IQGA1
HLA-I,All three,1904,P46952,3HAO
HLA-I,All three,1904,P46977,STT3A
HLA-I,All three,1904,P47756,CAPZB
HLA-I,All three,1904,P47897,SYQ
HLA-I,All three,1904,P48444,COPD
HLA-I,All three,1904,P48552,NRIP1
HLA-I,All three,1904,P48556,PSMD8
HLA-I,All three,1904,P48643,TCPE
HLA-I,All three,1904,P48681,NEST
HLA-I,All three,1904,P48729,KC1A
HLA-I,All three,1904,P48736,PK3CG
HLA-I,All three,1904,P49207,RL34
HLA-I,All three,1904,P49279,NRAM1
HLA-I,All three,1904,P49321,NASP
HLA-I,All three,1904,P49327,FAS
HLA-I,All three,1904,P49368,TCPG
HLA-I,All three,1904,P49458,SRP09
HLA-I,All three,1904,P49585,PCY1A
HLA-I,All three,1904,P49588,SYAC
HLA-I,All three,1904,P49662,CASP4
HLA-I,All three,1904,P49715,CEBPA
HLA-I,All three,1904,P49720,PSB3
HLA-I,All three,1904,P49754,VPS41
HLA-I,All three,1904,P49755,TMEDA
HLA-I,All three,1904,P49756,RBM25
HLA-I,All three,1904,P49790,NU153
HLA-I,All three,1904,P49792,RBP2
HLA-I,All three,1904,P49815,TSC2
HLA-I,All three,1904,P49902,5NTC
HLA-I,All three,1904,P49918,CDN1C
HLA-I,All three,1904,P50281,MMP14
HLA-I,All three,1904,P50395,GDIB
HLA-I,All three,1904,P50416,CPT1A
HLA-I,All three,1904,P50452,SPB8
HLA-I,All three,1904,P50454,SERPH
HLA-I,All three,1904,P50502,F10A1
HLA-I,All three,1904,P50542,PEX5
HLA-I,All three,1904,P50570,DYN2
HLA-I,All three,1904,P50579,MAP2
HLA-I,All three,1904,P50851,LRBA
HLA-I,All three,1904,P50990,TCPQ
HLA-I,All three,1904,P50991,TCPD
HLA-I,All three,1904,P50995,ANX11
HLA-I,All three,1904,P51003,PAPOA
HLA-I,All three,1904,P51149,RAB7A
HLA-I,All three,1904,P51531,SMCA2
HLA-I,All three,1904,P51571,SSRD
HLA-I,All three,1904,P51610,HCFC1
HLA-I,All three,1904,P51659,DHB4
HLA-I,All three,1904,P51665,PSMD7
HLA-I,All three,1904,P51784,UBP11
HLA-I,All three,1904,P51812,KS6A3
HLA-I,All three,1904,P51884,LUM
HLA-I,All three,1904,P52272,HNRPM
HLA-I,All three,1904,P52294,IMA5
HLA-I,All three,1904,P52333,JAK3
HLA-I,All three,1904,P52566,GDIR2
HLA-I,All three,1904,P52597,HNRPF
HLA-I,All three,1904,P52630,STAT2
HLA-I,All three,1904,P52701,MSH6
HLA-I,All three,1904,P52756,RBM5
HLA-I,All three,1904,P52758,RIDA
HLA-I,All three,1904,P52789,HXK2
HLA-I,All three,1904,P52888,THOP1
HLA-I,All three,1904,P52907,CAZA1
HLA-I,All three,1904,P52948,NUP98
HLA-I,All three,1904,P53350,PLK1
HLA-I,All three,1904,P53355,DAPK1
HLA-I,All three,1904,P53396,ACLY
HLA-I,All three,1904,P53582,MAP11
HLA-I,All three,1904,P53609,PGTB1
HLA-I,All three,1904,P53618,COPB
HLA-I,All three,1904,P53621,COPA
HLA-I,All three,1904,P53814,SMTN
HLA-I,All three,1904,P53990,IST1
HLA-I,All three,1904,P53992,SC24C
HLA-I,All three,1904,P53999,TCP4
HLA-I,All three,1904,P54105,ICLN
HLA-I,All three,1904,P54259,ATN1
HLA-I,All three,1904,P54709,AT1B3
HLA-I,All three,1904,P54727,RD23B
HLA-I,All three,1904,P55008,AIF1
HLA-I,All three,1904,P55010,IF5
HLA-I,All three,1904,P55036,PSMD4
HLA-I,All three,1904,P55058,PLTP
HLA-I,All three,1904,P55060,XPO2
HLA-I,All three,1904,P55072,TERA
HLA-I,All three,1904,P55160,NCKPL
HLA-I,All three,1904,P55196,AFAD
HLA-I,All three,1904,P55199,ELL
HLA-I,All three,1904,P55209,NP1L1
HLA-I,All three,1904,P55265,DSRAD
HLA-I,All three,1904,P55268,LAMB2
HLA-I,All three,1904,P55735,SEC13
HLA-I,All three,1904,P56524,HDAC4
HLA-I,All three,1904,P56559,ARL4C
HLA-I,All three,1904,P56945,BCAR1
HLA-I,All three,1904,P57076,CF298
HLA-I,All three,1904,P57086,SCND1
HLA-I,All three,1904,P57088,TMM33
HLA-I,All three,1904,P57682,KLF3
HLA-I,All three,1904,P57735,RAB25
HLA-I,All three,1904,P57737,CORO7
HLA-I,All three,1904,P57740,NU107
HLA-I,All three,1904,P57764,GSDMD
HLA-I,All three,1904,P58107,EPIPL
HLA-I,All three,1904,P58546,MTPN
HLA-I,All three,1904,P59998,ARPC4
HLA-I,All three,1904,P60228,EIF3E
HLA-I,All three,1904,P60510,PP4C
HLA-I,All three,1904,P60660,MYL6
HLA-I,All three,1904,P60709,ACTB
HLA-I,All three,1904,P60842,IF4A1
HLA-I,All three,1904,P60900,PSA6
HLA-I,All three,1904,P61011,SRP54
HLA-I,All three,1904,P61106,RAB14
HLA-I,All three,1904,P61160,ARP2
HLA-I,All three,1904,P61165,TM258
HLA-I,All three,1904,P61201,CSN2
HLA-I,All three,1904,P61247,RS3A
HLA-I,All three,1904,P61289,PSME3
HLA-I,All three,1904,P61513,RL37A
HLA-I,All three,1904,P61586,RHOA
HLA-I,All three,1904,P61599,NAA20
HLA-I,All three,1904,P61619,S61A1
HLA-I,All three,1904,P61769,B2MG
HLA-I,All three,1904,P61916,NPC2
HLA-I,All three,1904,P61962,DCAF7
HLA-I,All three,1904,P61978,HNRPK
HLA-I,All three,1904,P62136,PP1A
HLA-I,All three,1904,P62140,PP1B
HLA-I,All three,1904,P62195,PRS8
HLA-I,All three,1904,P62249,RS16
HLA-I,All three,1904,P62277,RS13
HLA-I,All three,1904,P62280,RS11
HLA-I,All three,1904,P62308,RUXG
HLA-I,All three,1904,P62424,RL7A
HLA-I,All three,1904,P62487,RPB7
HLA-I,All three,1904,P62491,RB11A
HLA-I,All three,1904,P62699,YPEL5
HLA-I,All three,1904,P62750,RL23A
HLA-I,All three,1904,P62753,RS6
HLA-I,All three,1904,P62805,H4
HLA-I,All three,1904,P62826,RAN
HLA-I,All three,1904,P62879,GBB2
HLA-I,All three,1904,P62888,RL30
HLA-I,All three,1904,P62906,RL10A
HLA-I,All three,1904,P62913,RL11
HLA-I,All three,1904,P62917,RL8
HLA-I,All three,1904,P62987,RL40
HLA-I,All three,1904,P62993,GRB2
HLA-I,All three,1904,P63010,AP2B1
HLA-I,All three,1904,P63104,1433Z
HLA-I,All three,1904,P63146,UBE2B
HLA-I,All three,1904,P63208,SKP1
HLA-I,All three,1904,P63220,RS21
HLA-I,All three,1904,P67809,YBOX1
HLA-I,All three,1904,P67936,TPM4
HLA-I,All three,1904,P68104,EF1A1
HLA-I,All three,1904,P68431,H31
HLA-I,All three,1904,P69849,NOMO3
HLA-I,All three,1904,P69905,HBA
HLA-I,All three,1904,P78325,ADAM8
HLA-I,All three,1904,P78344,IF4G2
HLA-I,All three,1904,P78347,GTF2I
HLA-I,All three,1904,P78371,TCPB
HLA-I,All three,1904,P78527,PRKDC
HLA-I,All three,1904,P78536,ADA17
HLA-I,All three,1904,P79483,DRB3
HLA-I,All three,1904,P82979,SARNP
HLA-I,All three,1904,P83731,RL24
HLA-I,All three,1904,P83876,TXN4A
HLA-I,All three,1904,P84098,RL19
HLA-I,All three,1904,P86791,CCZ1
HLA-I,All three,1904,P98082,DAB2
HLA-I,All three,1904,P98160,PGBM
HLA-I,All three,1904,Q00013,EM55
HLA-I,All three,1904,Q00325,MPCP
HLA-I,All three,1904,Q00341,VIGLN
HLA-I,All three,1904,Q00610,CLH1
HLA-I,All three,1904,Q00653,NFKB2
HLA-I,All three,1904,Q00688,FKBP3
HLA-I,All three,1904,Q00839,HNRPU
HLA-I,All three,1904,Q01082,SPTB2
HLA-I,All three,1904,Q01105,SET
HLA-I,All three,1904,Q01432,AMPD3
HLA-I,All three,1904,Q01518,CAP1
HLA-I,All three,1904,Q01543,FLI1
HLA-I,All three,1904,Q01581,HMCS1
HLA-I,All three,1904,Q01780,EXOSX
HLA-I,All three,1904,Q01813,PFKAP
HLA-I,All three,1904,Q01850,CDR2
HLA-I,All three,1904,Q01995,TAGL
HLA-I,All three,1904,Q02108,GCYA1
HLA-I,All three,1904,Q02153,GCYB1
HLA-I,All three,1904,Q02318,CP27A
HLA-I,All three,1904,Q02363,ID2
HLA-I,All three,1904,Q02809,PLOD1
HLA-I,All three,1904,Q02878,RL6
HLA-I,All three,1904,Q02880,TOP2B
HLA-I,All three,1904,Q03001,DYST
HLA-I,All three,1904,Q03164,KMT2A
HLA-I,All three,1904,Q03169,TNAP2
HLA-I,All three,1904,Q03518,TAP1
HLA-I,All three,1904,Q04446,GLGB
HLA-I,All three,1904,Q04637,IF4G1
HLA-I,All three,1904,Q04726,TLE3
HLA-I,All three,1904,Q04917,1433F
HLA-I,All three,1904,Q05048,CSTF1
HLA-I,All three,1904,Q05682,CALD1
HLA-I,All three,1904,Q05707,COEA1
HLA-I,All three,1904,Q06187,BTK
HLA-I,All three,1904,Q06210,GFPT1
HLA-I,All three,1904,Q06323,PSME1
HLA-I,All three,1904,Q06330,SUH
HLA-I,All three,1904,Q06481,APLP2
HLA-I,All three,1904,Q06546,GABPA
HLA-I,All three,1904,Q07157,ZO1
HLA-I,All three,1904,Q07352,TISB
HLA-I,All three,1904,Q07666,KHDR1
HLA-I,All three,1904,Q07820,MCL1
HLA-I,All three,1904,Q07864,DPOE1
HLA-I,All three,1904,Q07889,SOS1
HLA-I,All three,1904,Q07890,SOS2
HLA-I,All three,1904,Q07954,LRP1
HLA-I,All three,1904,Q07960,RHG01
HLA-I,All three,1904,Q08050,FOXM1
HLA-I,All three,1904,Q08211,DHX9
HLA-I,All three,1904,Q08378,GOGA3
HLA-I,All three,1904,Q08380,LG3BP
HLA-I,All three,1904,Q08945,SSRP1
HLA-I,All three,1904,Q08AF3,SLFN5
HLA-I,All three,1904,Q08J23,NSUN2
HLA-I,All three,1904,Q09028,RBBP4
HLA-I,All three,1904,Q09666,AHNK
HLA-I,All three,1904,Q0JRZ9,FCHO2
HLA-I,All three,1904,Q10567,AP1B1
HLA-I,All three,1904,Q10570,CPSF1
HLA-I,All three,1904,Q12768,WASC5
HLA-I,All three,1904,Q12769,NU160
HLA-I,All three,1904,Q12772,SRBP2
HLA-I,All three,1904,Q12788,TBL3
HLA-I,All three,1904,Q12789,TF3C1
HLA-I,All three,1904,Q12796,PNRC1
HLA-I,All three,1904,Q12797,ASPH
HLA-I,All three,1904,Q12802,AKP13
HLA-I,All three,1904,Q12873,CHD3
HLA-I,All three,1904,Q12874,SF3A3
HLA-I,All three,1904,Q12882,DPYD
HLA-I,All three,1904,Q12905,ILF2
HLA-I,All three,1904,Q12906,ILF3
HLA-I,All three,1904,Q12929,EPS8
HLA-I,All three,1904,Q12955,ANK3
HLA-I,All three,1904,Q12959,DLG1
HLA-I,All three,1904,Q12965,MYO1E
HLA-I,All three,1904,Q12996,CSTF3
HLA-I,All three,1904,Q13043,STK4
HLA-I,All three,1904,Q13045,FLII
HLA-I,All three,1904,Q13093,PAFA
HLA-I,All three,1904,Q13098,CSN1
HLA-I,All three,1904,Q13107,UBP4
HLA-I,All three,1904,Q13118,KLF10
HLA-I,All three,1904,Q13136,LIPA1
HLA-I,All three,1904,Q13144,EI2BE
HLA-I,All three,1904,Q13148,TADBP
HLA-I,All three,1904,Q13151,ROA0
HLA-I,All three,1904,Q13177,PAK2
HLA-I,All three,1904,Q13200,PSMD2
HLA-I,All three,1904,Q13207,TBX2
HLA-I,All three,1904,Q13217,DNJC3
HLA-I,All three,1904,Q13231,CHIT1
HLA-I,All three,1904,Q13233,M3K1
HLA-I,All three,1904,Q13263,TIF1B
HLA-I,All three,1904,Q13283,G3BP1
HLA-I,All three,1904,Q13308,PTK7
HLA-I,All three,1904,Q13310,PABP4
HLA-I,All three,1904,Q13315,ATM
HLA-I,All three,1904,Q13325,IFIT5
HLA-I,All three,1904,Q13356,PPIL2
HLA-I,All three,1904,Q13362,2A5G
HLA-I,All three,1904,Q13363,CTBP1
HLA-I,All three,1904,Q13418,ILK
HLA-I,All three,1904,Q13425,SNTB2
HLA-I,All three,1904,Q13435,SF3B2
HLA-I,All three,1904,Q13438,OS9
HLA-I,All three,1904,Q13439,GOGA4
HLA-I,All three,1904,Q13443,ADAM9
HLA-I,All three,1904,Q13459,MYO9B
HLA-I,All three,1904,Q13464,ROCK1
HLA-I,All three,1904,Q13492,PICAL
HLA-I,All three,1904,Q13501,SQSTM
HLA-I,All three,1904,Q13510,ASAH1
HLA-I,All three,1904,Q13535,ATR
HLA-I,All three,1904,Q13547,HDAC1
HLA-I,All three,1904,Q13561,DCTN2
HLA-I,All three,1904,Q13571,LAPM5
HLA-I,All three,1904,Q13576,IQGA2
HLA-I,All three,1904,Q13596,SNX1
HLA-I,All three,1904,Q13616,CUL1
HLA-I,All three,1904,Q13618,CUL3
HLA-I,All three,1904,Q13619,CUL4A
HLA-I,All three,1904,Q13685,AAMP
HLA-I,All three,1904,Q13724,MOGS
HLA-I,All three,1904,Q13751,LAMB3
HLA-I,All three,1904,Q13753,LAMC2
HLA-I,All three,1904,Q13769,THOC5
HLA-I,All three,1904,Q13813,SPTN1
HLA-I,All three,1904,Q13822,ENPP2
HLA-I,All three,1904,Q13838,DX39B
HLA-I,All three,1904,Q13884,SNTB1
HLA-I,All three,1904,Q13948,CASP
HLA-I,All three,1904,Q14008,CKAP5
HLA-I,All three,1904,Q14011,CIRBP
HLA-I,All three,1904,Q14094,CCNI
HLA-I,All three,1904,Q14118,DAG1
HLA-I,All three,1904,Q14126,DSG2
HLA-I,All three,1904,Q14139,UBE4A
HLA-I,All three,1904,Q14141,SEPT6
HLA-I,All three,1904,Q14145,KEAP1
HLA-I,All three,1904,Q14152,EIF3A
HLA-I,All three,1904,Q14157,UBP2L
HLA-I,All three,1904,Q14160,SCRIB
HLA-I,All three,1904,Q14161,GIT2
HLA-I,All three,1904,Q14181,DPOA2
HLA-I,All three,1904,Q14185,DOCK1
HLA-I,All three,1904,Q14195,DPYL3
HLA-I,All three,1904,Q14203,DCTN1
HLA-I,All three,1904,Q14204,DYHC1
HLA-I,All three,1904,Q14232,EI2BA
HLA-I,All three,1904,Q14240,IF4A2
HLA-I,All three,1904,Q14247,SRC8
HLA-I,All three,1904,Q14254,FLOT2
HLA-I,All three,1904,Q14258,TRI25
HLA-I,All three,1904,Q14289,FAK2
HLA-I,All three,1904,Q14318,FKBP8
HLA-I,All three,1904,Q14444,CAPR1
HLA-I,All three,1904,Q14469,HES1
HLA-I,All three,1904,Q14494,NF2L1
HLA-I,All three,1904,Q14511,CASL
HLA-I,All three,1904,Q14517,FAT1
HLA-I,All three,1904,Q14527,HLTF
HLA-I,All three,1904,Q14562,DHX8
HLA-I,All three,1904,Q14566,MCM6
HLA-I,All three,1904,Q14571,ITPR2
HLA-I,All three,1904,Q14624,ITIH4
HLA-I,All three,1904,Q14643,ITPR1
HLA-I,All three,1904,Q14644,RASA3
HLA-I,All three,1904,Q14653,IRF3
HLA-I,All three,1904,Q14667,K0100
HLA-I,All three,1904,Q14669,TRIPC
HLA-I,All three,1904,Q14671,PUM1
HLA-I,All three,1904,Q14677,EPN4
HLA-I,All three,1904,Q14684,RRP1B
HLA-I,All three,1904,Q14690,RRP5
HLA-I,All three,1904,Q14694,UBP10
HLA-I,All three,1904,Q14697,GANAB
HLA-I,All three,1904,Q14739,LBR
HLA-I,All three,1904,Q14764,MVP
HLA-I,All three,1904,Q14767,LTBP2
HLA-I,All three,1904,Q14789,GOGB1
HLA-I,All three,1904,Q14814,MEF2D
HLA-I,All three,1904,Q14839,CHD4
HLA-I,All three,1904,Q14847,LASP1
HLA-I,All three,1904,Q14865,ARI5B
HLA-I,All three,1904,Q14956,GPNMB
HLA-I,All three,1904,Q14966,ZN638
HLA-I,All three,1904,Q14974,IMB1
HLA-I,All three,1904,Q14980,NUMA1
HLA-I,All three,1904,Q14995,NR1D2
HLA-I,All three,1904,Q14999,CUL7
HLA-I,All three,1904,Q14C86,GAPD1
HLA-I,All three,1904,Q15005,SPCS2
HLA-I,All three,1904,Q15006,EMC2
HLA-I,All three,1904,Q15011,HERP1
HLA-I,All three,1904,Q15019,SEPT2
HLA-I,All three,1904,Q15021,CND1
HLA-I,All three,1904,Q15027,ACAP1
HLA-I,All three,1904,Q15029,U5S1
HLA-I,All three,1904,Q15034,HERC3
HLA-I,All three,1904,Q15038,DAZP2
HLA-I,All three,1904,Q15042,RB3GP
HLA-I,All three,1904,Q15046,SYK
HLA-I,All three,1904,Q15056,IF4H
HLA-I,All three,1904,Q15057,ACAP2
HLA-I,All three,1904,Q15063,POSTN
HLA-I,All three,1904,Q15075,EEA1
HLA-I,All three,1904,Q15080,NCF4
HLA-I,All three,1904,Q15121,PEA15
HLA-I,All three,1904,Q15149,PLEC
HLA-I,All three,1904,Q15154,PCM1
HLA-I,All three,1904,Q15233,NONO
HLA-I,All three,1904,Q15286,RAB35
HLA-I,All three,1904,Q15326,ZMY11
HLA-I,All three,1904,Q15365,PCBP1
HLA-I,All three,1904,Q15366,PCBP2
HLA-I,All three,1904,Q15388,TOM20
HLA-I,All three,1904,Q15393,SF3B3
HLA-I,All three,1904,Q15417,CNN3
HLA-I,All three,1904,Q15427,SF3B4
HLA-I,All three,1904,Q15437,SC23B
HLA-I,All three,1904,Q15459,SF3A1
HLA-I,All three,1904,Q15477,SKIV2
HLA-I,All three,1904,Q15532,SSXT
HLA-I,All three,1904,Q15582,BGH3
HLA-I,All three,1904,Q15629,TRAM1
HLA-I,All three,1904,Q15631,TSN
HLA-I,All three,1904,Q15637,SF01
HLA-I,All three,1904,Q15643,TRIPB
HLA-I,All three,1904,Q15652,JHD2C
HLA-I,All three,1904,Q15717,ELAV1
HLA-I,All three,1904,Q15746,MYLK
HLA-I,All three,1904,Q15750,TAB1
HLA-I,All three,1904,Q15751,HERC1
HLA-I,All three,1904,Q15796,SMAD2
HLA-I,All three,1904,Q15833,STXB2
HLA-I,All three,1904,Q15904,VAS1
HLA-I,All three,1904,Q15942,ZYX
HLA-I,All three,1904,Q16181,SEPT7
HLA-I,All three,1904,Q16204,CCDC6
HLA-I,All three,1904,Q16236,NF2L2
HLA-I,All three,1904,Q16363,LAMA4
HLA-I,All three,1904,Q16512,PKN1
HLA-I,All three,1904,Q16531,DDB1
HLA-I,All three,1904,Q16543,CDC37
HLA-I,All three,1904,Q16555,DPYL2
HLA-I,All three,1904,Q16576,RBBP7
HLA-I,All three,1904,Q16633,OBF1
HLA-I,All three,1904,Q16647,PTGIS
HLA-I,All three,1904,Q16649,NFIL3
HLA-I,All three,1904,Q16658,FSCN1
HLA-I,All three,1904,Q16665,HIF1A
HLA-I,All three,1904,Q16666,IF16
HLA-I,All three,1904,Q16678,CP1B1
HLA-I,All three,1904,Q16690,DUS5
HLA-I,All three,1904,Q16787,LAMA3
HLA-I,All three,1904,Q16850,CP51A
HLA-I,All three,1904,Q16875,F263
